,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
44,Abyell,20:59.3,00:06.7,1:01,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,FS,SAWETTABUT Suthasini,F,Stop,FM,L,攻撃
45,Abyell,21:16.3,00:07.3,1:01,1:01,Mallets,#02,NAGASAKI Miyu,Back,B,FMS,SAWETTABUT Suthasini,F,Flick,B,L,攻撃
0,Abyell,01:01.1,00:07.3,0:00,0:00,TOP,#08,HAMAMOTO Yui,(Side),F,FS,ANDO Minami,F,Stop,BMS,R,攻撃
1,Abyell,01:19.4,00:05.1,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,FS,ANDO Minami,B,Flick,ネット,R,攻撃
5,Abyell,02:11.5,00:07.7,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,F,Stop,BMS,L,攻撃
6,Abyell,02:26.8,00:07.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,F,Push,B,L,攻撃
9,Abyell,03:08.2,00:07.3,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Stop,BMS,R,攻撃
10,Abyell,03:26.1,00:07.2,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,FS,ANDO Minami,F,Stop,BMS,R,攻撃
13,Abyell,04:19.0,00:05.5,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,B,Chiquita,ネット,L,攻撃
14,Abyell,04:33.0,00:06.8,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,SUZUKI Rika,F,Stop,ネット,L,攻撃
17,Abyell,05:33.6,00:06.9,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Stop,BMS,R,攻撃
18,Abyell,05:52.7,00:07.1,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Stop,BMS,R,攻撃
23,Abyell,08:37.1,00:04.4,1:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BS,SUZUKI Rika,F,Flick,ネット,R,攻撃
24,Abyell,08:50.2,00:07.4,1:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BS,SUZUKI Rika,F,Stop,FMS,R,攻撃
28,Abyell,10:00.9,00:07.3,1:00,0:00,TOP,#04,NAGASAKI Miyu,Back,B,FS,ANDO Minami,F,Push,B,L,攻撃
29,Abyell,10:17.8,00:07.4,1:00,0:00,TOP,#02,NAGASAKI Miyu,Side,B,FS,ANDO Minami,F,Stop,FMS,L,攻撃
33,Abyell,11:20.5,00:06.5,1:00,0:00,TOP,#04,HAMAMOTO Yui,Side,F,BMS,SUZUKI Rika,F,Stop,BMS,R,攻撃
34,Abyell,11:41.0,00:07.1,1:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BMS,SUZUKI Rika,F,Stop,FS,R,攻撃
37,Abyell,12:28.0,00:06.7,1:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,ANDO Minami,F,Push,B,L,攻撃
38,Abyell,12:45.8,00:10.1,1:00,0:00,TOP,#10-,NAGASAKI Miyu,Side,B,FMS,ANDO Minami,B,Chiquita,B,L,攻撃
40,Abyell,15:04.0,00:05.8,1:01,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,ANDO Minami,F,Stop,BMS,R,攻撃
41,Abyell,15:21.2,00:07.7,1:01,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,FS,ANDO Minami,F,Stop,FMS,R,攻撃
44,Abyell,17:31.7,00:07.3,1:01,0:01,TOP,#02,NAGASAKI Miyu,Side,B,BMS,SUZUKI Rika,F,Push,B,L,攻撃
45,Abyell,17:50.5,00:07.2,1:01,0:01,Abyell,#01,NAGASAKI Miyu,(Side),B,B,SUZUKI Rika,B,ドライブ,オーバーミス,L,攻撃
