,名前,ポジション,デュレーション,00_01_GameCount,00_02_Time Out,00_03_Point,00_04_#,01_SV_00,01_SV_01,01_SV_02,01_SV_03,02_RV_00,02_RV_01,02_RV_02,02_RV_03,利き手,攻守
2,Abyell,106600,6533,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Push,B,L,攻撃
3,Abyell,119133,6333,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Stop,FMS,L,攻撃
6,Abyell,171400,7800,0:00,0:00,RedELF,#06,KIMURA Kasumi,Back,B,FMS,AKAE Kaho,F,Push,BMS,R,攻撃
7,Abyell,187333,6800,0:00,0:00,RedELF,#04,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,BM,R,攻撃
10,Abyell,230800,5666,0:00,0:00,,SV Let,NAGASAKI Miyu,Back,B,,MAEDA Miyu,,,,L,攻撃
11,Abyell,239533,8333,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,B,L,攻撃
12,Abyell,254933,7200,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,F,L,攻撃
15,Abyell,308900,4866,0:00,0:00,Abyell,#01,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,ネット,R,攻撃
16,Abyell,320900,5333,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,B,FMS,AKAE Kaho,F,Push,B,R,攻撃
19,Abyell,374500,7533,0:00,0:00,RedELF,#04,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,ネットイン,L,攻撃
20,Abyell,397166,5933,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Flick,ネット,L,攻撃
22,Abyell,512100,5600,1:00,0:00,RedELF,#02,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
23,Abyell,522900,8733,1:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
27,Abyell,649966,6000,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
28,Abyell,662900,7466,1:00,0:01,RedELF,#04,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
32,Abyell,722000,8200,1:00,0:01,Abyell,#05,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
33,Abyell,739466,5533,1:00,0:01,RedELF,#02,KIMURA Kasumi,(Side),F,B,MAEDA Miyu,B,ドライブ,B,R,攻撃
36,Abyell,867200,6533,1:00,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,FS,AKAE Kaho,F,Stop,FS,L,攻撃
37,Abyell,881200,7933,1:00,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,FS,AKAE Kaho,F,Push,B,L,攻撃
40,Abyell,934333,4933,1:00,1:01,,SV Let,KIMURA Kasumi,Back,F,,MAEDA Miyu,,,,R,攻撃
41,Abyell,944600,6066,1:00,1:01,Abyell,#03,KIMURA Kasumi,Back,F,BM,MAEDA Miyu,B,ドライブ,F,R,攻撃
42,Abyell,959600,7066,1:00,1:01,Abyell,#03,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Push,F,R,攻撃
47,Abyell,1149200,7933,1:01,1:01,RedELF,#04,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Push,ネットイン,L,攻撃
48,Abyell,1169233,6333,1:01,1:01,,SV Let,NAGASAKI Miyu,Side,B,,MAEDA Miyu,,,,L,攻撃
49,Abyell,1180033,7266,1:01,1:01,RedELF,#02,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Push,FM,L,攻撃
52,Abyell,1254566,6466,1:01,1:01,RedELF,#02,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,B,ミユータ,BM,R,攻撃
0,Abyell,02:04.2,00:05.9,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,F,BS,NAGAO TAKAKO,F,Push,B,R,攻撃
1,Abyell,02:17.0,00:05.3,0:00,0:00,Mallets,#02,KIMURA Kasumi,Back,F,BS,NAGAO TAKAKO,F,Push,BM,R,攻撃
4,Abyell,03:03.2,00:06.6,0:00,0:00,Mallets,#02,HAMAMOTO Yui,Side,F,FM,SHAN Xiaona,F,ドライブ,B,R,攻撃
5,Abyell,03:17.2,00:08.0,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,SHAN Xiaona,F,ドライブ,BM,R,攻撃
8,Abyell,04:16.4,00:06.1,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,F,BMS,NAGAO TAKAKO,F,Stop,FMS,R,攻撃
9,Abyell,04:32.8,00:05.4,0:00,0:00,Mallets,#02,KIMURA Kasumi,Back,F,BS,NAGAO TAKAKO,B,Push,B,R,攻撃
13,Abyell,05:43.7,00:05.9,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,SHAN Xiaona,F,ドライブ,B,R,攻撃
14,Abyell,06:02.4,00:06.7,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,SHAN Xiaona,F,Stop,BS,R,攻撃
17,Abyell,07:04.7,00:04.4,0:00,0:00,,SV Let,KIMURA Kasumi,Side,F,,NAGAO TAKAKO,,,,R,攻撃
18,Abyell,07:18.9,00:06.3,0:00,0:00,Mallets,#02,KIMURA Kasumi,Side,F,BMS,NAGAO TAKAKO,F,ドライブ,F,R,攻撃
19,Abyell,07:39.6,00:07.5,0:00,0:00,Mallets,#04,KIMURA Kasumi,Back,F,BMS,NAGAO TAKAKO,F,Push,BM,R,攻撃
23,Abyell,10:24.0,00:06.3,1:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Push,BM,R,攻撃
24,Abyell,10:44.6,00:06.7,1:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Flick,ネット,R,攻撃
27,Abyell,11:27.2,00:05.8,1:00,0:00,Mallets,#02,KIMURA Kasumi,(Side),F,FS,SHAN Xiaona,F,ドライブ,FM,R,攻撃
28,Abyell,11:42.0,00:06.5,1:00,0:00,Mallets,#04,KIMURA Kasumi,Side,F,FMS,SHAN Xiaona,F,Stop,BMS,R,攻撃
31,Abyell,13:44.5,00:06.9,1:00,0:01,Abyell,#03,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,Push,B,R,攻撃
32,Abyell,14:01.4,00:07.1,1:00,0:01,Mallets,#02,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,B,Chiquita,FM,R,攻撃
35,Abyell,15:11.1,00:07.2,1:00,0:01,Mallets,#04,KIMURA Kasumi,Back,F,FMS,SHAN Xiaona,F,Stop,BMS,R,攻撃
36,Abyell,15:35.0,00:09.3,1:00,0:01,Mallets,#06,KIMURA Kasumi,Back,F,FS,SHAN Xiaona,F,ドライブ,F,R,攻撃
39,Abyell,16:50.3,00:06.0,1:00,0:01,Mallets,#02,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,BM,R,攻撃
2,Abyell,01:59.6,00:05.3,0:00,0:00,RedELF,#02,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Push,BM,R,攻撃
3,Abyell,02:12.6,00:06.1,0:00,0:00,,SV Let,KIMURA Kasumi,(Side),F,,MAEDA Miyu,,,,R,攻撃
4,Abyell,02:21.0,00:05.5,0:00,0:00,Abyell,#03,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FMS,R,攻撃
7,Abyell,02:54.8,00:06.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FS,AKAE Kaho,B,ミユータ,,L,攻撃
8,Abyell,03:07.0,00:06.0,0:00,0:00,,SV Let,NAGASAKI Miyu,Back,B,,AKAE Kaho,,,,L,攻撃
9,Abyell,03:22.1,00:06.5,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Stop,FMS,L,攻撃
12,Abyell,04:07.1,00:05.3,0:00,0:00,Abyell,#01,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Flick,,R,攻撃
13,Abyell,04:18.7,00:06.1,0:00,0:00,RedELF,#04,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
16,Abyell,05:08.2,00:06.5,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,FMS,AKAE Kaho,F,Push,B,L,攻撃
17,Abyell,05:24.5,00:10.3,0:00,0:00,RedELF,#06,NAGASAKI Miyu,Side,B,FS,AKAE Kaho,F,Push,F,L,攻撃
20,Abyell,06:27.8,00:08.4,0:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,BMS,MAEDA Miyu,B,Stop,FMS,R,攻撃
21,Abyell,06:53.2,00:07.7,0:00,0:00,RedELF,#04,KIMURA Kasumi,(Side),F,BMS,MAEDA Miyu,B,Stop,FS,R,攻撃
22,Abyell,08:40.7,00:06.7,1:00,0:00,RedELF,#02,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,B,R,攻撃
23,Abyell,08:52.9,00:08.5,1:00,0:00,RedELF,#06,KIMURA Kasumi,Back,F,FS,AKAE Kaho,B,ミユータ,B,R,攻撃
26,Abyell,09:39.9,00:07.8,1:00,0:00,RedELF,#02,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,F,Stop,,L,攻撃
27,Abyell,11:26.0,00:06.7,1:00,0:01,Abyell,#01,NAGASAKI Miyu,Back,B,BMS,MAEDA Miyu,B,Flick,,L,攻撃
30,Abyell,12:08.9,00:05.1,1:00,0:01,RedELF,#02,KIMURA Kasumi,(Side),F,FMS,AKAE Kaho,F,Push,BS,R,攻撃
31,Abyell,12:22.0,00:04.9,1:00,0:01,RedELF,#02,KIMURA Kasumi,Back,F,FMS,AKAE Kaho,F,Push,F,R,攻撃
34,Abyell,13:06.2,00:06.6,1:00,0:01,RedELF,#02,NAGASAKI Miyu,Back,B,BS,MAEDA Miyu,B,Push,B,L,攻撃
2,Abyell,01:15.2,00:06.2,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,IBAYASHI Marina,F,Stop,FMS,L,攻撃
3,Abyell,01:26.9,00:06.4,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,IBAYASHI Marina,F,Push,F,L,攻撃
7,Abyell,02:10.6,00:05.4,0:00,0:00,Abyell,#01,KIHARA Miyuu,(Side),F,BMS,SUZUKI Rika,F,Stop,ネット,R,攻撃
8,Abyell,02:21.2,00:04.7,0:00,0:00,TOP,#00,KIHARA Miyuu,(Side),F,,SUZUKI Rika,,,,R,攻撃
13,Abyell,03:10.4,00:06.7,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Back,B,FMS,IBAYASHI Marina,F,Push,オーバーミス,L,攻撃
14,Abyell,03:21.3,00:07.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Back,B,FMS,IBAYASHI Marina,F,Stop,FMS,L,攻撃
17,Abyell,04:01.6,00:05.8,0:00,0:00,TOP,#02,KIHARA Miyuu,(Side),F,BMS,SUZUKI Rika,F,Stop,BMS,R,攻撃
18,Abyell,04:14.7,00:04.3,0:00,0:00,TOP,#00,KIHARA Miyuu,Back,F,,SUZUKI Rika,,,,R,攻撃
21,Abyell,04:56.9,00:06.9,0:00,0:00,Abyell,#01,NAGASAKI Miyu,Side,B,FMS,IBAYASHI Marina,F,Stop,ネット,L,攻撃
22,Abyell,06:44.8,00:05.3,1:00,0:00,Abyell,#03,KIHARA Miyuu,(Side),F,FMS,IBAYASHI Marina,F,Stop,FMS,R,攻撃
23,Abyell,06:56.3,00:05.0,1:00,0:00,TOP,#02,KIHARA Miyuu,(Side),F,,IBAYASHI Marina,,,,R,攻撃
26,Abyell,07:36.2,00:06.3,1:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,F,Stop,BS,L,攻撃
27,Abyell,07:48.6,00:08.9,1:00,0:00,Abyell,#07,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,F,Push,B,L,攻撃
30,Abyell,08:41.4,00:05.0,1:00,0:00,,SV Let,KIHARA Miyuu,(Side),F,,IBAYASHI Marina,,,,R,攻撃
31,Abyell,08:47.8,00:06.7,1:00,0:00,Abyell,#05,KIHARA Miyuu,(Side),F,FMS,IBAYASHI Marina,F,Stop,FMS,R,攻撃
32,Abyell,10:33.5,00:06.9,1:00,0:01,Abyell,#03,KIHARA Miyuu,(Side),F,FMS,IBAYASHI Marina,F,Stop,FMS,R,攻撃
35,Abyell,11:22.8,00:05.7,1:00,0:01,TOP,#02,NAGASAKI Miyu,Side,B,BS,SUZUKI Rika,F,Stop,BMS,L,攻撃
36,Abyell,13:02.3,00:07.7,1:00,1:01,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,SUZUKI Rika,F,Stop,BMS,L,攻撃
39,Abyell,13:50.4,00:05.4,1:00,1:01,Abyell,#03,KIHARA Miyuu,(Side),F,FMS,IBAYASHI Marina,F,Stop,BMS,R,攻撃
40,Abyell,14:06.3,00:06.3,1:00,1:01,TOP,#06,KIHARA Miyuu,(Side),F,FMS,IBAYASHI Marina,F,Stop,FS,R,攻撃
43,Abyell,15:06.2,00:06.9,1:00,1:01,Abyell,#03,NAGASAKI Miyu,Back,B,BS,SUZUKI Rika,F,Stop,BS,L,攻撃
0,Abyell,01:36.0,00:08.5,0:00,0:00,Abyell,#05,KIHARA Miyuu,(Side),F,F,OJIO Haruna,B,Push,F,R,攻撃
1,Abyell,01:54.1,00:08.1,0:00,0:00,Mallets,#04,KIHARA Miyuu,(Side),B,F,OJIO Haruna,B,Push,BM,R,攻撃
4,Abyell,02:47.0,00:09.3,0:00,0:00,Mallets,#04,HAMAMOTO Yui,(Side),F,F,SOMA Yumeno,B,Push,B,R,攻撃
5,Abyell,03:05.3,00:09.9,0:00,0:00,Mallets,#06,HAMAMOTO Yui,(Side),B,FS,SOMA Yumeno,B,Push,BS,R,攻撃
8,Abyell,04:03.5,00:14.7,0:00,0:00,Abyell,#09-,KIHARA Miyuu,(Side),F,FS,OJIO Haruna,B,Push,BM,R,攻撃
9,Abyell,04:29.4,00:05.9,0:00,0:00,Mallets,#02,KIHARA Miyuu,(Side),B,F,OJIO Haruna,B,Push,FMS,R,攻撃
12,Abyell,05:26.8,00:09.5,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,F,SOMA Yumeno,B,Push,FM,R,攻撃
13,Abyell,05:43.8,00:05.7,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),B,FS,SOMA Yumeno,B,Stop,,R,攻撃
16,Abyell,06:42.3,00:05.9,0:00,0:00,Mallets,#02,KIHARA Miyuu,(Side),F,F,OJIO Haruna,B,Push,FS,R,攻撃
17,Abyell,06:56.9,00:07.3,0:00,0:00,Abyell,#05,KIHARA Miyuu,(Side),F,FS,OJIO Haruna,B,Push,B,R,攻撃
22,Abyell,09:49.4,00:08.8,0:01,0:00,Abyell,#07,KIHARA Miyuu,(Side),F,FS,SOMA Yumeno,B,Push,BM,R,攻撃
23,Abyell,10:08.0,00:06.1,0:01,0:00,Mallets,#02,KIHARA Miyuu,(Side),F,F,SOMA Yumeno,B,Push,FMS,R,攻撃
26,Abyell,11:03.2,00:06.9,0:01,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,F,OJIO Haruna,B,Push,FM,R,攻撃
27,Abyell,11:18.4,00:12.1,0:01,0:00,Abyell,#09-,HAMAMOTO Yui,Back,F,FMS,OJIO Haruna,B,Push,B,R,攻撃
30,Abyell,13:43.7,00:05.9,0:01,1:00,Mallets,#02,KIHARA Miyuu,(Side),F,FMS,SOMA Yumeno,F,Push,FM,R,攻撃
31,Abyell,14:02.2,00:20.2,0:01,1:00,Abyell,#09-,KIHARA Miyuu,(Side),F,FMS,SOMA Yumeno,F,Push,BM,R,攻撃
34,Abyell,15:13.9,00:06.4,0:01,1:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,OJIO Haruna,B,Push,F,R,攻撃
35,Abyell,15:28.9,00:06.9,0:01,1:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FS,OJIO Haruna,B,Push,B,R,攻撃
38,Abyell,16:38.1,00:10.7,0:01,1:00,Mallets,#08,KIHARA Miyuu,(Side),F,F,SOMA Yumeno,F,Push,B,R,攻撃
39,Abyell,17:04.1,00:06.8,0:01,1:00,Abyell,#03,KIHARA Miyuu,(Side),F,FM,SOMA Yumeno,F,Push,BM,R,攻撃
0,Abyell,01:49.4,00:05.9,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Stop,FMS,R,攻撃
1,Abyell,02:00.8,00:07.9,0:00,0:00,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,BMS,R,攻撃
4,Abyell,02:47.7,00:10.1,0:00,0:00,Abyell,#07,NAGASAKI Miyu,Back,B,FMS,SAWETTABUT Suthasini,F,Stop,FMS,L,攻撃
5,Abyell,03:04.7,00:09.3,0:00,0:00,Mallets,#06,NAGASAKI Miyu,Back,B,FMS,SAWETTABUT Suthasini,F,Stop,BMS,L,攻撃
8,Abyell,04:07.7,00:05.9,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Flick,F,R,攻撃
9,Abyell,04:22.0,00:06.0,0:00,0:00,Mallets,#02,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,BMS,R,攻撃
12,Abyell,05:16.4,00:07.4,0:00,0:00,Mallets,#02,NAGASAKI Miyu,Back,B,F,SAWETTABUT Suthasini,F,ドライブ,FM,L,攻撃
13,Abyell,05:30.1,00:07.1,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,SAWETTABUT Suthasini,F,Push,BM,L,攻撃
16,Abyell,06:26.1,00:07.4,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,B,R,攻撃
17,Abyell,06:41.7,00:07.4,0:00,0:00,Abyell,#05,HAMAMOTO Yui,(Side),F,B,NAGAO TAKAKO,F,ドライブ,F,R,攻撃
20,Abyell,09:05.6,00:07.9,0:00,1:00,Mallets,#04,NAGASAKI Miyu,Side,B,FMS,SAWETTABUT Suthasini,F,Stop,FMS,L,攻撃
23,Abyell,11:26.8,00:08.4,1:00,1:00,Abyell,#07,HAMAMOTO Yui,(Side),F,FMS,SAWETTABUT Suthasini,F,Stop,BMS,R,攻撃
24,Abyell,11:43.4,00:05.9,1:00,1:00,Mallets,#02,HAMAMOTO Yui,(Side),F,FMS,SAWETTABUT Suthasini,F,Stop,FS,R,攻撃
27,Abyell,12:38.6,00:07.0,1:00,1:00,Mallets,#02,NAGASAKI Miyu,Back,B,BMS,NAGAO TAKAKO,F,Push,BM,L,攻撃
28,Abyell,12:53.0,00:06.6,1:00,1:00,Abyell,#01,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,F,Flick,ネット,L,攻撃
31,Abyell,13:46.8,00:06.7,1:00,1:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FS,SAWETTABUT Suthasini,F,Push,BM,R,攻撃
32,Abyell,14:03.0,00:07.3,1:00,1:00,Mallets,#04,HAMAMOTO Yui,(Side),F,FMS,SAWETTABUT Suthasini,F,Flick,BM,R,攻撃
35,Abyell,15:06.6,00:08.7,1:00,1:00,Mallets,#04,NAGASAKI Miyu,Side,B,BMS,NAGAO TAKAKO,B,Chiquita,BM,L,攻撃
36,Abyell,15:26.0,00:06.9,1:00,1:00,Mallets,#02,NAGASAKI Miyu,Back,B,BS,NAGAO TAKAKO,F,ドライブ,F,L,攻撃
39,Abyell,17:50.2,00:06.7,1:00,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,SAWETTABUT Suthasini,F,Flick,BM,R,攻撃
40,Abyell,19:39.4,00:06.7,1:01,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,BS,NAGAO TAKAKO,F,ドライブ,B,R,攻撃
41,Abyell,19:59.3,00:08.3,1:01,1:01,Mallets,#04,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Push,B,R,攻撃
44,Abyell,21:12.7,00:08.8,1:01,1:01,Abyell,#05,NAGASAKI Miyu,Side,B,FMS,SAWETTABUT Suthasini,F,Stop,BMS,L,攻撃
45,Abyell,21:31.4,00:08.1,1:01,1:01,Mallets,#04,NAGASAKI Miyu,Side,B,FMS,SAWETTABUT Suthasini,F,Stop,FS,L,攻撃
48,Abyell,22:53.9,00:11.3,1:01,1:01,Abyell,#09-,HAMAMOTO Yui,(Side),F,BMS,NAGAO TAKAKO,F,Flick,F,R,攻撃
0,Abyell,01:04.5,00:05.6,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FS,YAMAMOTO Syoko,F,Push,FM,R,攻撃
1,Abyell,01:15.2,00:06.9,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Push,BMS,R,攻撃
4,Abyell,01:59.2,00:08.3,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Back,B,BMS,LIN Ye,B,Push,FMS,L,攻撃
5,Abyell,02:16.6,00:07.7,0:00,0:00,Abyell,#05,NAGASAKI Miyu,Side,B,FS,LIN Ye,F,Push,BM,L,攻撃
11,Abyell,03:58.4,00:05.4,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,FS,YAMAMOTO Syoko,B,Flick,,R,攻撃
12,Abyell,04:12.7,00:06.0,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,FS,YAMAMOTO Syoko,B,Stop,FS,R,攻撃
15,Abyell,05:08.5,00:07.0,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FS,LIN Ye,B,Push,B,L,攻撃
16,Abyell,05:25.6,00:07.5,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FS,LIN Ye,B,Push,B,L,攻撃
19,Abyell,06:32.0,00:06.5,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FS,YAMAMOTO Syoko,F,Push,FM,R,攻撃
20,Abyell,06:45.8,00:06.0,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,YAMAMOTO Syoko,F,Stop,BMS,R,攻撃
23,Abyell,09:04.8,00:08.5,1:00,0:00,Abyell,#07,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Chiquita,BM,R,攻撃
24,Abyell,10:33.9,00:05.2,1:00,0:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Chiquita,B,R,攻撃
27,Abyell,11:18.2,00:07.7,1:00,0:01,TOP,#04,NAGASAKI Miyu,Back,B,FMS,YAMAMOTO Syoko,F,Stop,FMS,L,攻撃
28,Abyell,11:36.2,00:07.3,1:00,0:01,TOP,#04,NAGASAKI Miyu,Side,B,FS,YAMAMOTO Syoko,B,Push,B,L,攻撃
31,Abyell,12:32.2,00:05.1,1:00,0:01,TOP,#02,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Chiquita,,R,攻撃
32,Abyell,12:44.4,00:04.7,1:00,0:01,,SV Let,HAMAMOTO Yui,(Side),F,,LIN Ye,,,,R,攻撃
33,Abyell,12:53.8,00:05.9,1:00,0:01,Abyell,#01,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Chiquita,,R,攻撃
37,Abyell,13:52.7,00:06.7,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Side,B,FS,YAMAMOTO Syoko,F,Push,B,L,攻撃
38,Abyell,14:07.1,00:07.1,1:00,0:01,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,YAMAMOTO Syoko,F,Stop,BS,L,攻撃
0,Abyell,00:36.4,00:05.6,0:00,0:00,Abyell,#01,HAMAMOTO Yui,(Side),F,BMS,SAMARA Elizabeta,F,Flick,,R,攻撃
1,Abyell,00:47.9,00:06.5,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BMS,SAMARA Elizabeta,B,Stop,FMS,R,攻撃
5,Abyell,01:49.0,00:06.9,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,LIN Ye,F,Push,BM,L,攻撃
6,Abyell,02:03.6,00:06.7,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,FMS,LIN Ye,B,Chiquita,BM,L,攻撃
9,Abyell,03:10.6,00:06.1,0:00,0:00,TOP,#02,HAMAMOTO Yui,(Side),F,BS,SAMARA Elizabeta,F,Stop,BMS,R,攻撃
10,Abyell,03:25.1,00:07.5,0:00,0:00,TOP,#04,HAMAMOTO Yui,(Side),F,BMS,SAMARA Elizabeta,B,Chiquita,BM,R,攻撃
13,Abyell,04:26.7,00:07.7,0:00,0:00,TOP,#04,NAGASAKI Miyu,Side,B,FMS,LIN Ye,F,Stop,FMS,L,攻撃
14,Abyell,06:09.3,00:07.2,0:00,1:00,TOP,#04,NAGASAKI Miyu,Side,B,FMS,LIN Ye,B,Chiquita,BM,L,攻撃
17,Abyell,07:14.8,00:08.9,0:00,1:00,Abyell,#07,HAMAMOTO Yui,(Side),F,BS,SAMARA Elizabeta,F,Stop,FMS,R,攻撃
18,Abyell,07:34.8,00:07.5,0:00,1:00,Abyell,#05,HAMAMOTO Yui,(Side),F,BS,SAMARA Elizabeta,B,Chiquita,FM,R,攻撃
21,Abyell,09:59.5,00:05.4,1:00,1:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FS,LIN Ye,B,Push,F,R,攻撃
22,Abyell,11:24.2,00:05.9,1:00,1:01,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Push,FM,R,攻撃
25,Abyell,12:19.5,00:10.3,1:00,1:01,TOP,#06,NAGASAKI Miyu,Side,B,BS,SAMARA Elizabeta,F,Stop,,L,攻撃
26,Abyell,12:40.2,00:05.9,1:00,1:01,Abyell,#01,NAGASAKI Miyu,Back,B,BS,SAMARA Elizabeta,B,Chiquita,,L,攻撃
29,Abyell,13:26.7,00:05.5,1:00,1:01,Abyell,#01,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,F,Push,,R,攻撃
30,Abyell,13:37.9,00:05.6,1:00,1:01,TOP,#02,HAMAMOTO Yui,(Side),F,FMS,LIN Ye,B,Chiquita,B,R,攻撃
33,Abyell,14:31.9,00:09.1,1:00,1:01,TOP,#06,NAGASAKI Miyu,Side,B,BMS,SAMARA Elizabeta,B,Stop,BMS,L,攻撃
34,Abyell,14:52.5,00:07.8,1:00,1:01,TOP,#04,NAGASAKI Miyu,Back,B,BS,SAMARA Elizabeta,F,Stop,BMS,L,攻撃
0,Abyell,01:04.9,00:06.2,0:00,0:00,RedELF,#04,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Push,BM,R,攻撃
1,Abyell,01:17.7,00:05.9,0:00,0:00,Abyell,#03,HAMAMOTO Yui,(Side),F,FMS,AKAE Kaho,F,Push,F,R,攻撃
4,Abyell,02:03.6,00:06.9,0:00,0:00,RedELF,#02,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Chiquita,BM,L,攻撃
5,Abyell,02:18.7,00:06.9,0:00,0:00,Abyell,#03,NAGASAKI Miyu,Side,B,BMS,MAEDA Miyu,B,Push,BM,L,攻撃
